track,artist,popularity,artist_popularity,artist_followers,duration_min,is_explicit,release_year,genre,album_tracks,hit_flag
you never really cared,Anna Marx,31,34,1693,2.37,0,2025,Other,1,0
Master of the Kill,Ana Shine,42,45,27570,3.25,0,2025,Other,1,0
Fool For You,Stray Currents,25,20,1073,3.07,0,2025,Other,1,0
blonde eyes,Sopperior,25,30,2891,2.41,0,2025,Other,5,0
limerence,Sopperior,13,30,2896,1.48,0,2025,Other,5,0
Love Crazy - Stash Konig Remix,MisterNez,31,18,200,3.26,0,2025,Other,1,0
One More Time,Fraser Stott,6,13,119,3.94,0,2025,Other,9,0
Nectar - B-Rain Remix,Senhit,29,27,54636,2.95,0,2025,Other,3,0
No Glory,Besomorph,52,58,146944,2.37,0,2025,slap house,1,0
Dracula,Tame Impala,80,84,9509731,3.42,1,2025,neo-psychedelic,12,1
PSYCHWARD (with WesGhost ft. Project Pat),Diplo,51,77,2812337,2.88,1,2025,moombahton,4,0
Where Have You Been,Ken,38,50,7219,2.08,0,2025,hypertechno,1,0
Great Tomorrow,Kxng Leó,3,1,177,2.21,0,2025,Other,1,0
Hearts Grow Cold (Saint Noël) [feat. Olivia Cadenza],Kayote,50,49,19306,2.65,0,2025,Other,1,0
Talk To You (ft. Elton John),Sam Fender,72,73,1204977,5.28,1,2025,Other,1,1
The Way I Am Now,Lila Holler,25,17,1068,3.77,0,2025,Other,1,0
Think About Us,Sonny Fodera,68,66,306842,2.96,0,2025,house,1,0
Trophy Wife,Annalise Azadian,32,31,5701,2.86,1,2025,Other,1,0
baby can you sin for me,Ex Habit,52,59,130408,2.69,0,2025,dark r&b,1,0
Wild Side,Poul,48,53,1161,2.5,0,2025,Other,1,0
Amal,Abeer Nehme,38,50,247771,3.88,0,2025,sholawat,1,0
PIXELATED KISSES,Joji,88,81,10638942,1.84,1,2025,Other,1,1
MEGAFAUNA,Stanza,24,10,218,2.87,1,2025,Other,1,0
2nd To Me,Christian Kennedy,31,14,297,3.26,1,2025,Other,1,0
Leavin,Rod Wave,70,76,9673984,2.81,1,2025,Other,1,1
Gone Gone Gone,David Guetta,79,87,27141717,3.3,0,2025,edm,2,1
Goodbye For Now,Olivia Cox,33,18,1263,3.5,0,2025,hipdut,1,0
Here and Now (Where I Wanna Be),Briezman,35,23,445,3.03,0,2025,big room,1,0
Hold My Hand,TAMMO,35,19,290,4.4,0,2025,Other,1,0
Part of Me,A Boogie Wit da Hoodie,75,77,8986062,2.78,1,2025,melodic rap,1,1
Run For The Hills,Jason Charles Miller,37,43,17999,3.12,0,2025,Other,1,0
So Far,Visibly True,28,20,114,3.07,0,2025,Other,1,0
Something Like This,The Haygoods,33,20,7785,2.22,0,2025,Other,1,0
Stateside + Zara Larsson,PinkPantheress,74,78,4761364,3.07,0,2025,bedroom pop,31,1
Constellations,Ian Asher,68,70,223449,2.73,0,2025,Other,1,0
Die On This Hill,SIENNA SPIRO,76,66,182377,3.61,0,2025,Other,3,1
Distance Of Living,Aresty.,35,17,4,2.72,0,2025,Other,9,0
EYES CLOSED (with ZAYN),JISOO,88,73,7282227,3.02,0,2025,k-pop,1,1
Getting Down,gigi,30,13,5,3.13,0,2025,Other,1,0
Alarm,Millo,18,5,429,3.02,0,2025,Other,1,0
All Night Long,KOLBEIN,39,28,631,2.75,0,2025,hypertechno,1,0
ANYMORE,ASH7ON,18,7,308,2.91,1,2025,Other,1,0
Bad Boy,KROMA,60,54,11283,2.45,0,2025,hard techno,1,0
Break Out,zukrassverliebt,39,24,435,3.2,0,2025,Other,1,0
Tropical Vacation,Riff Raff,40,48,193279,2.92,0,2025,Other,1,0
Chasing the Day,TIMBER,51,32,37,2.63,0,2025,Other,1,0
Used To Love,Maithili Raelle,35,19,2633,2.21,0,2025,Other,1,0
TBB,Sabir,31,18,435,2.41,1,2025,Other,1,0
The Fate of Ophelia,Taylor Swift,87,100,145443567,3.76,0,2025,country,12,1
The Life of a Showgirl (feat. Sabrina Carpenter),Taylor Swift,93,100,145489371,4.02,1,2025,country,12,1
The Serpent,Besomorph,53,58,146969,3.25,0,2025,slap house,1,0
The Way I Know,Padre Tóxico,29,26,13179,2.15,0,2025,jazz rap,1,0
Turn Back Time,Orvyn Sol,25,15,48,3.19,0,2025,Other,1,0
Wait For You,MEDZ,42,37,6199,3.45,0,2025,melodic bass,1,0
Rare,Edd Stark,39,28,405,2.9,1,2025,chicago drill,1,0
Rock Your Body,IV Tune,28,11,54,2.81,0,2025,Other,7,0
Ruin The Friendship,Taylor Swift,92,100,145396321,3.67,0,2025,country,12,1
Monsters,IAN SIZE,38,32,1844,2.17,1,2025,melodic bass,1,0
Opalite,Taylor Swift,97,100,145443567,3.92,0,2025,country,12,1
High Or Die,Beatline,39,20,475,2.51,0,2025,future house,2,0
Honey,Taylor Swift,91,100,145489371,3.02,1,2025,country,12,1
i don't need ur love,Rumelis,55,49,8741,2.23,1,2025,dark r&b,2,0
It's Giving,Third Vibes,40,24,3776,2.49,0,2025,Other,1,0
Actually Romantic,Taylor Swift,93,100,145396321,2.72,1,2025,country,12,1
Broken Glass,Phay,32,20,5344,2.27,1,2025,Other,1,0
CANCELLED!,Taylor Swift,93,100,145396321,3.52,1,2025,country,12,1
Wi$h Li$t,Taylor Swift,93,100,145396321,3.45,1,2025,country,12,1
Wood,Taylor Swift,93,100,145443567,2.5,1,2025,country,12,1
you're a star,Fred again..,74,77,2201446,3.65,0,2025,stutter house,1,1
Days Like These,Luke Combs,75,83,13402920,3.69,0,2025,country,3,1
Eldest Daughter,Taylor Swift,92,100,145396321,4.1,1,2025,country,12,1
Elizabeth Taylor,Taylor Swift,95,100,145489371,3.47,0,2025,country,12,1
Energy,Tolou,40,28,4401,3.04,0,2025,Other,1,0
Father Figure,Taylor Swift,94,100,145542136,3.54,1,2025,country,12,1
Super Woman,Haifa Wehbe,35,51,1151605,3.72,0,2025,egyptian pop,6,0
The Fate of Ophelia,Taylor Swift,75,100,145443567,3.76,0,2025,country,26,1
Ties in Texas,Lindsey Fish,42,23,3629,3.11,0,2025,Other,1,0
Till We Meet Again,Van Herpen,52,37,1081,2.46,0,2025,Other,1,0
VHS,Eiza Murphy,36,20,4162,3.57,0,2025,Other,1,0
يا قلبي أنا,Anthony Touma,31,20,3260,2.85,0,2025,moroccan pop,1,0
Heisenberg,Soolking,54,69,6204568,2.51,0,2025,french rap,1,0
ENCOSTA NA QUEBRADA,Tarja Preta 013,11,12,80,2.61,1,2025,Other,1,0
MAD SCIENTIST,Homeboy Delmar,23,13,22,2.51,0,2025,Other,5,0
Pick A Side,4ourty8,46,29,6670,2.33,1,2025,Other,1,0
Something Must Sup,Kaptain Swizzy,28,13,290,2.99,0,2025,Other,1,0
Still on the go,KEV-Y,27,12,6,3.66,0,2025,Other,1,0
superstar,Artemas,68,74,1377042,2.82,1,2025,Other,3,0
Touch Bress,Fameboy BL,26,14,192,3.16,1,2025,Other,1,0
Hot (Cut Water),Big Jude,24,8,13,1.7,1,2025,Other,1,0
Don't Need Him,Shelailai,36,23,2256,2.57,1,2025,Other,1,0
gigolo,bbno$,77,78,2730121,1.97,1,2025,Other,1,1
"I´m the Boss, You Know",Camilla Sun,17,6,3,2.21,1,2025,Other,1,0
Wall Flowers,POW,56,45,73003,3.0,0,2025,Other,1,0
My New Ex,Ana Shine,50,45,27570,3.2,0,2025,Other,1,0
Need You Know,JD & The Straight Chasers,43,49,1874,2.6,0,2025,Other,14,0
Picture,JD & The Straight Chasers,35,49,1855,2.92,0,2025,Other,14,0
You Make It Easy,JD & The Straight Chasers,39,49,1874,2.08,0,2025,Other,14,0
Chicken Fried,JD & The Straight Chasers,41,49,1866,2.59,0,2025,Other,14,0
Body,Misfit Milli,36,22,90,2.22,1,2025,jersey club,1,0
By My Side,Khari!,36,19,1413,2.82,0,2025,Other,1,0
take a dive,India Thieriot,36,24,2803,2.85,0,2025,Other,1,0
TIT FOR TAT,Tate McRae,91,88,9256589,2.93,1,2025,pop,1,1
TNA,Amb1shn,37,19,139,3.03,1,2025,bongo flava,1,0
What You Is,YoungBoy Never Broke Again,74,84,14936207,3.76,1,2025,Other,1,1
Habibi,Allison Amber Hage,27,18,69,2.83,0,2025,Other,1,0
Come Find Me (with Clementine Douglas),MK,68,69,354095,3.45,0,2025,house,1,0
Did You Cry,Maggie Andrew,33,20,2448,2.74,0,2025,Other,7,0
Dracula,Tame Impala,85,84,9509731,3.42,1,2025,neo-psychedelic,3,1
Feel Like This,N'John,49,34,9375,2.62,0,2025,Other,1,0
Flip Dat - feat. Babyface Ray,Ashwin Gane,52,47,2695,3.21,1,2025,hipdut,4,0
You Showed Me Love,Terry Parks,43,24,26,4.51,0,2025,Other,24,0
Let Me Know,Kelsey Olivia,29,15,3150,3.63,0,2025,Other,1,0
michigan,Siena Fantini,30,13,183,4.42,0,2025,indie r&b,4,0
Movin' On,Rob Wolf,43,25,1152,3.36,0,2025,Other,1,0
MY PEOPLE II,Konet,41,25,569,2.59,1,2025,afrobeat,2,0
No Shirt,Rockstar Jt,39,25,10987,2.81,1,2025,christian hip hop,1,0
nothing at all,Elliot,33,20,4873,3.47,1,2025,Other,1,0
San Francisco,Madi Rindge,39,23,3112,3.37,0,2025,Other,1,0
Save Me,Happening Now,41,23,175,2.96,0,2025,Other,1,0
SEXIFY,Nick Hissom,38,22,2001,2.05,0,2025,Other,1,0
So Easy (To Fall In Love),Olivia Dean,90,88,1499215,2.81,0,2025,pop soul,12,1
Rock Show,Breakfast For Joey,40,23,114,2.58,1,2025,Other,1,0
Rolling Stone,st.James,34,17,1254,3.08,1,2025,Other,1,0
SEEN THROUGH YOU,SPTEMBRR,13,4,1909,2.95,1,2025,Other,1,0
Alive,Lafferty,36,18,181,2.81,0,2025,Other,1,0
Don’t Listen,Mblue,37,38,6157,2.9,0,2025,Other,1,0
Finest Boy,Boyshegz,21,7,3,2.8,0,2025,Other,1,0
ADD,Khantrast,68,62,394628,2.62,1,2025,anime rap,1,0
LEGENDARY,Sawd Yute,25,9,36,2.57,0,2025,Other,1,0
Loader,AthenaDME,37,22,178,2.15,0,2025,3 step,6,0
Never Know What To Say,Kris James,32,35,1803,2.76,0,2025,Other,14,0
I Didn't Need Him,Brooke Star,27,10,60,3.61,0,2025,Other,1,0
Question,Benniee,18,16,104,2.64,0,2025,Other,7,0
She´s in the Game (Brazilian Funk),Mc Slug,13,3,4,2.49,1,2025,funk de bh,1,0
Post Sex Clarity,Lola Young,78,77,1461346,4.36,0,2025,Other,14,1
Pretty & Petty,Cardi B,74,81,25953771,3.05,1,2025,Other,23,1
Psycho,BURY,44,52,21748,3.07,0,2025,dark r&b,3,0
Pure Intoxication,GINAxC,27,18,232,2.55,0,2025,Other,12,0
Rush From You,Rumelis,49,49,8802,2.51,1,2025,dark r&b,2,0
Safe (feat. Kehlani),Cardi B,75,81,25953771,2.96,1,2025,Other,23,1
Holy Sin,Besomorph,47,58,146969,2.42,0,2025,slap house,1,0
I Kill Spiders,Libby Ember,35,19,181,3.69,0,2025,Other,4,0
Magnet,Cardi B,71,81,25957976,2.97,1,2025,Other,23,1
Man Ray,Ananya,31,15,1068,3.63,0,2025,Other,1,0
Can't Take My Eyes Off You,Sarah Berg,38,35,1843,2.26,0,2025,Other,1,0
DEPRESSED,Anne-Marie,69,75,12848260,2.3,1,2025,Other,1,0
ErrTime,Cardi B,69,81,25957976,2.44,1,2025,Other,23,0
Fly Before I Fall,Tera Lynne Fister,31,22,1274,3.88,0,2025,Other,4,0
Get Ready To Feel Good,shotty,22,11,382,3.92,0,2025,Other,1,0
WHERE IS MY HUSBAND!,RAYE,92,81,2853248,3.27,0,2025,Other,1,1
WHO,TAILIAH BREON,40,22,49,3.11,0,2025,Other,1,0
Wire,Laime,42,36,31236,2.95,1,2025,alté,3,0
You Left,shams,40,22,227,3.97,0,2025,melodic bass,1,0
I Am Nobody,MARE,54,50,3963,2.25,0,2025,Other,1,0
Search Party!,The All-American Rejects,58,67,3134091,4.38,0,2025,pop punk,3,0
Shangri-La,Egzod,39,62,225797,3.31,0,2025,Other,1,0
Red Shredded Paper,Lola Blanc,26,47,163172,4.17,0,2025,Other,13,0
Take My Hand,Will Roush,39,33,6678,3.22,0,2025,Other,4,0
CRAVE,Beneld,52,53,19064,2.96,0,2025,dark r&b,3,0
Creme Brulee,Will Roush,44,33,6685,2.95,0,2025,Other,4,0
Ghost Town,Will Roush,42,33,6683,3.08,0,2025,Other,4,0
Obssessed,Voncho,17,12,390,3.0,1,2025,melodic rap,1,0
Amor Infinito,Mauricio Maia,17,4,276,2.62,0,2025,Other,2,0
Millionaire,Lil Q,47,33,319,3.01,1,2025,Other,1,0
Rise of the Machines,MARA,16,8,12,3.9,0,2025,Other,11,0
Silicon Heart,MARA,16,8,12,4.08,0,2025,Other,11,0
I Need Some Time,John Brandt,17,8,39,4.6,1,2025,Other,6,0
Falling Stars,AZERDK,43,30,1655,4.0,1,2025,Other,1,0
Eddie Kane - Radio Edit,J.I.Bri,10,16,2177,3.26,0,2025,Other,11,0
Funeral,JeLa,41,44,1499,2.8,0,2025,Other,1,0
Seventeen,Kate Anstey,27,10,34,3.2,0,2025,Other,1,0
My Best,A!MS,50,47,7071,2.88,0,2025,Other,9,0
Good Time Gone,Lexie Stevenson,53,34,103,3.4,0,2025,Other,1,0
irl,joegarratt,42,31,2956,2.57,0,2025,future house,1,0
TKO,A!MS,49,47,7045,2.02,1,2025,Other,9,0
Aye Ma,Big Swapp,40,22,32,1.69,1,2025,Other,1,0
Bak 2 Bak,Taene,41,33,1639,2.99,0,2025,afrobeats,1,0
BASIC,Lali Banks,33,15,39,2.13,1,2025,Other,1,0
Camera,Ed Sheeran,79,88,122773292,3.59,0,2025,soft pop,13,1
Chorei por Aí,Marcos Neiva,15,7,1022,2.97,0,2025,arrocha,1,0
Posso Até Não Te Dar Flores,DJ Japa NK,85,75,282947,2.64,1,2025,brazilian funk,1,1
Voy a Brillar (Reggae),Serena Kaya,16,4,4,2.73,0,2025,Other,1,0
How It Goes,Hanno,54,45,2752,2.05,0,2025,Other,1,0
Just Like Heaven - Live From Glastonbury,Olivia Rodrigo,55,85,49083617,3.92,0,2025,pop rock,2,0
Friday I'm In Love - Live From Glastonbury,Olivia Rodrigo,61,84,49050008,4.11,0,2025,pop rock,2,0
Engolindo a lua,Dennis Lucca,30,20,1897,3.04,0,2025,Other,1,0
Dangerous Love,Mandrazo,44,48,10272,2.81,0,2025,Other,3,0
Gettin' Older (feat. YoungBoy Never Broke Again),Jas Von,54,39,9729,2.78,1,2025,Other,1,0
best. day. ever.,Scoobert Doobert,47,36,5606,2.63,0,2025,Other,1,0
Bossa velha,SEHORE,28,12,44,3.38,0,2025,Other,14,0
Lonely Together,Sickick,55,64,1211803,2.6,0,2025,Other,2,0
LOVE SONG,Justin Bieber,75,91,85008100,2.87,0,2025,pop,44,1
Rose Colored Glasses,America Allen,33,20,696,3.57,0,2025,Other,4,0
The Dead Dance,Lady Gaga,84,88,42237551,3.8,0,2025,art pop,1,1
The Beast,Lady Gaga,56,88,42237551,3.9,0,2025,art pop,17,0
The Dead Dance,Lady Gaga,80,89,42275793,3.8,0,2025,art pop,17,1
Vanish Into You,Lady Gaga,61,88,42256604,4.08,0,2025,art pop,17,0
Die With A Smile,Lady Gaga,55,88,42237551,4.19,0,2025,art pop,17,0
Disease,Lady Gaga,61,88,42237551,3.83,0,2025,art pop,17,0
Don't Call Tonight,Lady Gaga,58,88,42256604,3.76,0,2025,art pop,17,0
Garden Of Eden,Lady Gaga,62,88,42256604,3.99,0,2025,art pop,17,0
Yonderer,Cj Hooper,37,19,267,3.47,0,2025,Other,1,0
Zombieboy,Lady Gaga,60,88,42256604,3.55,0,2025,art pop,17,0
How Bad Do U Want Me,Lady Gaga,60,88,42237551,3.98,1,2025,art pop,17,0
Kill For Love,Lady Gaga,66,88,42256604,4.11,0,2025,art pop,17,0
Killah (feat. Gesaffelstein),Lady Gaga,59,88,42256604,3.51,1,2025,art pop,17,0
Perfect Celebrity,Lady Gaga,60,89,42275793,3.82,0,2025,art pop,17,0
Shadow Of A Man,Lady Gaga,58,88,42256604,3.32,0,2025,art pop,17,0
LoveDrug,Lady Gaga,60,88,42237551,3.22,0,2025,art pop,17,0
Machine,Rob Thomas,39,62,973349,2.67,0,2025,Other,4,0
Abracadabra,Lady Gaga,62,89,42275793,3.72,0,2025,art pop,17,0
Blade Of Grass,Lady Gaga,55,88,42256604,4.28,0,2025,art pop,17,0
Can’t Stop the High,Lady Gaga,64,88,42237551,3.51,1,2025,art pop,17,0
still smokin,RXRXBBIT,43,32,592,2.66,0,2025,Other,1,0
PRICE,Or Barak,20,12,2956,2.41,1,2025,avant-garde,1,0
Ridiculous - Stripped,Sounds Kinda Good,31,19,88,4.33,0,2025,Other,1,0
Run Girl,Nazaki,44,42,11904,2.69,0,2025,Other,1,0
When Did You Get Hot?,Sabrina Carpenter,91,91,26538275,2.42,0,2025,pop,12,1
Sugar Talking,Sabrina Carpenter,84,91,26559943,3.06,1,2025,pop,12,1
Tears,Sabrina Carpenter,92,91,26538275,2.66,0,2025,pop,12,1
Trapzzoid,Riff Raff,39,48,193279,2.32,0,2025,Other,1,0
u don't have to tell me,Artemas,65,74,1377042,2.26,0,2025,Other,2,0
We Almost Broke Up Again Last Night,Sabrina Carpenter,82,91,26559943,3.38,1,2025,pop,12,1
Went Legit,G Herbo,44,69,2482067,2.34,1,2025,chicago drill,2,0
De (feat. Savage Plug),Wegz,46,61,7437933,3.41,0,2025,egyptian hip hop,12,0
Don’t Worry I’ll Make You Worry,Sabrina Carpenter,81,91,26538275,3.7,1,2025,pop,12,1
El Ayam,Wegz,57,61,7429055,2.56,0,2025,egyptian hip hop,12,0
Ezay Tfotny,Wegz,48,61,7437933,3.16,0,2025,egyptian hip hop,12,0
Ghareeba (feat. ZIAD ZAZA),Wegz,49,61,7429055,4.12,0,2025,egyptian hip hop,12,0
Girlfriend (feat. Tayc),Wegz,50,61,7429055,2.83,0,2025,egyptian hip hop,12,0
Afterparty,Wegz,52,61,7433128,4.07,0,2025,egyptian hip hop,12,0
Bad Days,Wegz,54,61,7433128,3.26,0,2025,egyptian hip hop,12,0
Bey Ulu ma y Ulu,Wegz,53,61,7429055,2.81,0,2025,egyptian hip hop,12,0
Capsula,Wegz,41,61,7437933,0.55,0,2025,egyptian hip hop,12,0
Go Go Juice,Sabrina Carpenter,85,91,26516295,3.22,1,2025,pop,12,1
Goodbye,Sabrina Carpenter,84,91,26559943,3.75,1,2025,pop,12,1
House Tour,Sabrina Carpenter,87,91,26538275,2.82,0,2025,pop,12,1
In Retrospect,RIELL,46,52,78423,2.67,0,2025,Other,22,0
Khesert El Sha3b,Wegz,50,61,7437933,2.07,0,2025,egyptian hip hop,12,0
Let It Be Me,CADMIUM,41,48,74002,2.65,0,2025,Other,1,0
Mama Afrikya (feat. Seyi Vibez),Wegz,51,61,7437933,2.82,0,2025,egyptian hip hop,12,0
Manchild,Sabrina Carpenter,88,91,26559943,3.56,1,2025,pop,12,1
Mazhar W Mal,Wegz,50,61,7429055,2.94,0,2025,egyptian hip hop,12,0
My Man on Willpower,Sabrina Carpenter,85,91,26559943,3.29,1,2025,pop,12,1
Never Getting Laid,Sabrina Carpenter,83,91,26516295,3.47,1,2025,pop,12,1
Nobody’s Son,Sabrina Carpenter,88,91,26538275,3.04,1,2025,pop,12,1
mafhashmafhash,Marwan Moussa,49,61,2649787,2.35,0,2025,egyptian hip hop,10,0
makan fi albak,Marwan Moussa,51,61,2650667,2.83,0,2025,egyptian hip hop,10,0
matador,Marwan Moussa,49,61,2650667,3.08,0,2025,egyptian hip hop,10,0
matrosh,Marwan Moussa,43,61,2649787,2.17,0,2025,egyptian hip hop,10,0
mshmawgood,Marwan Moussa,42,61,2652612,2.51,0,2025,egyptian hip hop,10,0
tefhaminish ghalat,Marwan Moussa,43,61,2650667,2.72,0,2025,egyptian hip hop,10,0
Sacrifice,Elvis Drew,50,55,68465,3.3,0,2025,dark r&b,1,0
shaklekmagnona,Marwan Moussa,51,61,2652612,2.48,0,2025,egyptian hip hop,10,0
labubu,Marwan Moussa,44,61,2649787,2.2,0,2025,egyptian hip hop,10,0
Don't u cry,Omido,53,58,72064,2.97,0,2025,dark r&b,3,0
el makaan,Marwan Moussa,43,61,2649787,2.79,0,2025,egyptian hip hop,10,0
faker bas nasy,Marwan Moussa,47,61,2649787,3.12,0,2025,egyptian hip hop,10,0
Fish-Woman (POP Version),Lucas Mazotti,13,3,3,2.63,0,2025,Other,1,0
I Just Want a Kiss (Brazilian Axé Version),Lia Morena,13,3,2,2.49,0,2025,Other,1,0
Glória Meu Senhor,Reginaldo de Oliveira,15,5,21,3.83,0,2025,Other,12,0
Quero Lhe Dizer,Reginaldo de Oliveira,15,5,21,4.53,0,2025,Other,12,0
She Walked Away (Guitar Ballad Version),NiloSerra,14,6,4,3.71,0,2025,Other,1,0
Overstimulated,Unlike Pluto,34,57,398681,3.13,0,2025,Other,17,0
Paranoia,Unlike Pluto,34,57,398659,3.3,0,2025,Other,17,0
Running Cold,Besomorph,53,58,146944,3.01,0,2025,slap house,1,0
Suckerpunch,Unlike Pluto,31,57,398681,3.08,0,2025,Other,17,0
Trance,Unlike Pluto,37,57,398681,3.12,0,2025,Other,17,0
under the mat,sombr,71,85,2789144,4.74,0,2025,Other,10,1
undressed,sombr,88,85,2795852,3.03,0,2025,Other,10,1
Unremember - Radio Mix,Russell Watson,36,38,44378,2.81,0,2025,Other,1,0
we never dated,sombr,78,85,2795852,3.28,0,2025,Other,10,1
Weekend,Jordana Bryant,44,38,60619,2.02,0,2025,Other,1,0
Letting Go,Unlike Pluto,37,57,398642,3.39,0,2025,Other,17,0
Like You,LEROCQUE,35,23,13839,3.07,0,2025,Other,1,0
Monsoon,Emma Louise,55,53,88544,2.84,0,2025,Other,10,0
Whisper to Me,Unlike Pluto,32,57,398642,2.67,0,2025,Other,17,0
Wrong,Unlike Pluto,33,57,398659,3.26,0,2025,Other,17,0
Hide my Tears,Unlike Pluto,37,57,398642,2.64,0,2025,Other,17,0
I know,Pia Baris,40,24,2256,3.25,0,2025,Other,1,0
i wish i knew how to quit you,sombr,78,85,2795852,3.87,0,2025,Other,10,1
I'm Nice Till I'm Not,Kendra Erika,40,25,8363,2.84,0,2025,french indie pop,1,0
If I Disappear,Unlike Pluto,36,57,398659,3.15,0,2025,Other,17,0
Insanium,Unlike Pluto,34,57,398681,2.64,0,2025,Other,17,0
Is My Vision Scarred,Unlike Pluto,44,57,398681,3.8,0,2025,Other,17,0
come closer,sombr,71,85,2789144,3.23,0,2025,Other,10,1
Crown,Unlike Pluto,32,57,398642,2.91,0,2025,Other,17,0
crushing,sombr,76,85,2802094,3.45,0,2025,Other,10,1
dime,sombr,68,85,2795852,3.76,0,2025,Other,10,0
12 to 12,sombr,89,85,2795852,4.04,0,2025,Other,10,1
50 50,Unlike Pluto,33,57,398642,3.0,0,2025,Other,17,0
After the Rain,Unlike Pluto,33,57,398659,2.93,0,2025,Other,17,0
back to friends,sombr,91,85,2789144,3.31,0,2025,Other,10,1
Bad Reaction,L3NA,21,17,134,2.74,0,2025,Other,4,0
Betray,Unlike Pluto,34,57,398681,2.94,0,2025,Other,17,0
Bleed Me Dry,Unlike Pluto,36,57,398681,3.16,0,2025,Other,17,0
Bloom,Shelita,38,23,462,3.41,0,2025,Other,1,0
Boom,Unlike Pluto,39,57,398659,2.85,0,2025,Other,17,0
canal street,sombr,73,85,2809275,5.04,0,2025,Other,10,1
Summer Haze,BETHY,34,18,824,4.06,0,2025,Other,1,0
Jealous Type,Doja Cat,81,86,34748949,2.72,1,2025,Other,1,1
You´re my Best - Pop,Samantha Lux,16,4,423,2.73,0,2025,Other,1,0
Secrets with Strangers,Skrizzly Adams,48,43,30470,3.59,0,2025,Other,2,0
Impressions,Lil Q,46,33,321,2.2,1,2025,Other,1,0
The Summer’s Here,The Queen Wasps,14,5,5,3.0,0,2025,Other,1,0
the happy you were after,Anaumali,36,18,148,4.88,0,2025,Other,1,0
Make Believe,Luke Dean,65,60,27567,3.08,0,2025,house,1,0
Man I Need,Olivia Dean,95,88,1499215,3.06,0,2025,pop soul,3,1
MEN DONT CRY,Seven Kay,15,5,156,3.88,1,2025,Other,14,0
Golden Hour,Xander Ward,45,35,729,3.18,0,2025,Other,1,0
Southern Country Girl,2'Live Bre,49,32,3893,2.93,0,2025,christian hip hop,1,0
downtown,Lil Peep,62,82,15702014,2.03,1,2025,emo rap,1,0
Fade,Shelita,27,23,462,3.75,0,2025,Other,1,0
Flowers,Stone Canyons,30,13,27,3.24,0,2025,Other,1,0
Thats All I Do,Christian Ray Taylor,12,2,10,2.98,1,2025,Other,1,0
I'm in Love,ConKi,64,61,26095,2.63,0,2025,Other,1,0
I’m All In (Rock 80`s Version),The Raven Vox,14,4,8,3.8,0,2025,Other,1,0
goddamn,mgk,65,78,5643375,3.11,1,2025,Other,13,0
greece n' paris,Orlando Kallen,38,25,2136,3.21,1,2025,Other,2,0
Hell At Night (feat. Ella Langley),BigXthaPlug,76,79,2059774,2.98,0,2025,southern hip hop,1,1
Holy Water,Marshmello,73,80,34481381,2.49,0,2025,edm,1,1
CRAZY,Frankie Muriel,50,38,805,3.9,0,2025,Other,9,0
